事件ID,事件名称,事件类型,参数,参数描述,参数取值,平台
storyLike_click,点赞记录,,"1、source
2、Type
","统计入口：1、我的孩子feed；2、关注的孩子feed
统计记录类型：成长记录/阅读记录","1、myKid；2、followed
1、record；2、dailyreadlog",
storyCancelLike_click,取消点赞记录,,"1、source
2、Type
","统计入口：1、我的孩子feed；2、关注的孩子feed
统计记录类型：成长记录/阅读记录","1、myKid；2、followed
1、record；2、dailyreadlog",
storyComment_click,评论记录,,"1、source
2、Type
","统计入口：1、我的孩子feed；2、关注的孩子feed
统计记录类型：成长记录/阅读记录","1、myKid；2、followed
1、record；2、dailyreadlog",
storyReplyComment_click,回复评论,,"1、source
2、Type
","统计入口：1、我的孩子feed；2、关注的孩子feed
统计记录类型：成长记录/阅读记录","1、myKid；2、followed
1、record；2、dailyreadlog",
storyFeedPage_view,访问记录feed页面,,position,统计位置：1、我的孩子；2、我关注的孩子,1、myKid；2、followed,
storyFeed_filter,筛选记录类型,,,,,
uploadFileListPage_view,上传图片列表页,,source,统计入口：1、记录内；2、私信内,1、story；2、message,
uploadFileChooseFile_click,选择文件,,source,统计入口：1、在详情页选择文件；2、在列表页选择文件,1、detailPage；2、listPage,
bookSearch_click,点击搜索书籍,,source,统计入口：1、阅读记录内；2、书架内,1、readingStory；2、bookShelf,
bookScan_click,点击扫码加书,,source,统计入口：1、阅读记录内；2、书架内,1、readingStory；2、bookShelf,
storyShare_click,分享记录,,,,,
storyEdit_click,编辑记录,,,,,
storyDelete_click,删除记录,,,,,
scan_click,点击扫一扫,普通事件,,,,
analysis_click,点击数据报告,普通事件,,,,
album_click,点击孩子相册,普通事件,,,,
familytrip_click,点击亲子游,普通事件,,,,
familytrip_inputbox_click,点击亲子游的输入框,普通事件,,,,
activity_click,点击足迹,普通事件,,来源：1、亲子游；2、我,1、FamilyTrip；2、Me,
activitydetails_click,访问亲子游中任意活动,普通事件,,,,
interest_click,点击活动中的感兴趣,普通事件,,,,web
been_click,点击活动中的去过,普通事件,,,,web
comment_click,点击活动中的评论,普通事件,,,,web
share_click,点击活动中的分享,普通事件,source,分享路径：1、微信；2、朋友圈；3、其他,1、WeChat；2、Moment；3、More,web
schedule_click,点击课程表,普通事件,,,,
calendar_click,点击校历,普通事件,,,,
recipe_click,点击食谱,普通事件,,,,
absence_click,点击请假,普通事件,,,,
absenceRecords_click,点击请假历史,普通事件,,,,
attendance_click,点击出勤,普通事件,,,,
remaininglessons_click,点击剩余课时,普通事件,,,,
classinfo_click,点击班级信息,普通事件,,,,
purchaseHistory_click,点击购买记录,普通事件,,,,
systemnotification_click,点击系统通知,普通事件,,,,
datacenter_click,访问数据中心页,普通事件,,,,
message_click,访问留言详情页,,,,,
mykids_click,点击我的孩子,,,,,
removechild_click,点击删除孩子,,,,,
guardian_click,点击我的孩子的监护人,,,,,
relative_click,点击我的孩子的亲友,,,,,
editinfo_click,点击编辑孩子信息,,,,,
changebanner_click,更换孩子信息的背景,,,,,
accountinfo_click,点击账号信息,,,,,
profilephoto_click,修改头像,,,,,
profilename_click,修改姓名,,,,,
profilegender_click,修改性别,,,,,
profileWeChat_click,绑定微信,,,,,
profileMagnet_click,绑定磁场,,,,,
userAgreement_click,点击用户协议,,,,,
logout_click,点击退出登录,,,,,
inviteGuardian_click,点击邀请监护人,,source,入口：1、账户页；2、孩子亲友页,1、Me；2、relative,
QRcodeInviteGuardian_click,二维码邀请监护人,,source,邀请方式：1、分享到微信；2、保存到相册,1、WeChat；2、save,
inviteOther,点击邀请其他人,,source,入口：1、账户页；2、孩子亲友页,1、Me；2、Guardian,
QRcodeInviteOther_click,二维码邀请其他人,,source,邀请方式：1、分享到微信；2、保存到相册,1、WeChat；2、save,
feedback_click,点击反馈,,,,,
uploadFile_preview,预览文件,,,,,
storyCreatePage_view,访问发布记录页,,,,,
,,,,,,
storyCreateButton_click,点击首页创建记录按钮,,,,,
storyUploadCenterPage_view,访问上传中心页面,,,,,
storyReUpload_click,重传记录,,,,,
storyCancelUpload_click,取消上传记录,,,,,
storyUpload_time,统计上传时长（从开始上传某条记录到某条记录上传成功）,,,,,
storySearchPage_view,访问搜索记录页,,,,,
storySearchHistory_click,点击搜索历史搜索,,,,,
storySearchTime_click,点击日期搜索,,,,,
storySearchChooseTag_click,搜索结果页选择标签,,,,,
storySearchChooseStory_click,搜索结果页选择记录,,,,,
tagAddPage_view,访问添加标签页,,,,,
tag_search,搜索标签,,,,,
tagRecommend_click,选择推荐标签,,,,,
tagCustom_click,选择自定义标签,,,,,
tagCustom_add,添加自定义标签,,,,,
HappenedTime_view,访问发生时间action sheet,,,,,
voiceToText_click,点击语音转文字,,,,,
locationPage_view,访问位置页面,,,,,
visiblePage_view,访问可见权限页面,,,,,
selectKidPage_view,访问选择孩子页,,,,,
readingStoryBookAdd_click,继续添加图书,,,,,
readingStoryBookDelete_click,删除图书,,,,,
readingStoryBookRating_click,为图书打分,,,,,
readingStoryCreatePage_view,访问发布阅读记录页,,,,,
bookshelf_click,点击孩子书房,,,,,
